,SSID,Capabilities,BSSID,Level,Timestamp,Venue Name
3,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:21,-81,7 days,
4,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:31,-85,7 days,
5,TechPublic,[ESS],54:e0:32:40:a6:01,-87,7 days,
6,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:05,-87,7 days,
7,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:03,-89,7 days,
8,HOTBOX-7BCC,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],00:78:9e:fb:2c:48,-92,7 days,
0,TechPublic,[ESS],3c:8a:b0:f1:28:01,-74,7 days,
1,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:03,-75,7 days,
2,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:05,-75,7 days,
3,TechPublic,[ESS],b0:b8:67:ed:32:20,-76,7 days,
4,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:21,-81,7 days,
5,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:31,-85,7 days,
6,TechPublic,[ESS],54:e0:32:40:a6:01,-87,7 days,
7,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:05,-87,7 days,
8,gaza 108-3,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],b4:ee:b4:ac:9e:ab,-88,7 days,
9,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:03,-89,7 days,
10,HOTBOX-7BCC,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],00:78:9e:fb:2c:48,-92,7 days,
0,TechPublic,[ESS],3c:8a:b0:f1:28:01,-74,7 days,
1,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:03,-75,7 days,
2,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:05,-75,7 days,
3,TechPublic,[ESS],b0:b8:67:ed:32:20,-76,7 days,
4,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:21,-81,7 days,
5,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:31,-85,7 days,
6,TechPublic,[ESS],54:e0:32:40:a6:01,-87,7 days,
7,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:05,-87,7 days,
8,gaza 108-3,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],b4:ee:b4:ac:9e:ab,-88,7 days,
9,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],54:e0:32:40:a6:03,-89,7 days,
10,HOTBOX-7BCC,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],00:78:9e:fb:2c:48,-92,7 days,
0,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:ed:32:21,-67,7 days,
1,ASA - Tehcnion,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],30:b5:c2:2b:03:36,-68,7 days,
2,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:02,-72,7 days,
3,TechPublic,[ESS],3c:8a:b0:f1:28:00,-80,7 days,
4,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],3c:8a:b0:f1:28:04,-82,7 days,
5,108_9,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f5:b0:e8,-90,7 days,
0,,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],ac:3b:77:54:c5:d5,-68,7 days,
0,NVA1821-1,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b4:a4,-49,7 days,
1,NVA1821-2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:c2:85,-67,7 days,
2,Kahalanosh,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d4:7b:b0:79:b8:7b,-86,7 days,
0,,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],ac:3b:77:54:c5:d5,-62,7 days,
1,r16,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],00:78:9e:fa:b8:63,-96,7 days,
0,,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],ac:3b:77:54:c5:d5,-66,7 days,
1,HOTBOX-594E,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f5:99:7a,-88,7 days,
0,NVA1821-2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:c2:85,-71,7 days,
1,NVA1821-1,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b4:a4,-79,7 days,
2,HOTBOX 4-D208,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:d2:0e,-86,7 days,
3,HOTBOX-7D64,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],7c:03:4c:ff:10:22,-91,7 days,
5,BATCAVE,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b3:02,-95,7 days,
6,HOTBOX-8030,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b8:84,-95,7 days,
7,18301B,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b9:a4,-96,7 days,
0,yuval,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:5f:67:41:cb:c5,-79,7 days,
1,DIRECT-a1-HP M130f LaserJet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],12:5b:ad:01:07:a1,-86,7 days,
2,RNG ,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],74:ea:3a:f1:e8:84,-87,7 days,
3,Bspot046B_2.4,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b0:d5:9d:d8:ed:22,-91,7 days,
4,ANAT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10:5a:f7:2a:d6:80,-92,7 days,
0,BeSpotBF47_2.4,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b0:d5:9d:fa:94:c9,-76,7 days,
1,moshe4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],ec:be:dd:e0:e2:1a,-78,7 days,
2,katabi2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],a4:08:f5:20:13:9e,-78,7 days,
3,revivo4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],3c:17:10:19:f2:54,-78,7 days,
4,Sharon,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],14:ae:db:56:14:ed,-78,7 days,
5,moshe4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2c:79:d7:ec:e8:32,-79,7 days,
6,katabi2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],54:64:d9:60:17:1f,-81,7 days,
7,yuval,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:5f:67:41:cb:c5,-83,7 days,
8,Rotem,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],78:65:59:66:26:f6,-83,7 days,
9,DIRECT-C5-HP Smart Tank 610,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b2:5c:da:c5:73:c5,-84,7 days,
10,DIRECT-a1-HP M130f LaserJet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],12:5b:ad:01:07:a1,-85,7 days,
11,Segal1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],10:be:f5:43:62:20,-85,7 days,
12,Rotem,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],b8:66:85:b4:11:0b,-87,7 days,
13,Fiber 4K,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],a0:39:ee:94:f0:be,-89,7 days,
14,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],12:80:63:73:ab:9e,-91,7 days,
15,ANAT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10:5a:f7:2a:d6:80,-92,7 days,
16,Deco Tv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],0c:80:63:73:ab:9e,-93,7 days,
17,Bspot046B_5.0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b0:d5:9d:d8:ed:23,-96,7 days,
18,Deco Tv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],0c:80:63:73:93:06,-96,7 days,
0,BeSpotBF47_2.4,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b0:d5:9d:fa:94:c9,-76,7 days,
1,moshe4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],ec:be:dd:e0:e2:1a,-78,7 days,
2,katabi2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],a4:08:f5:20:13:9e,-78,7 days,
3,revivo4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],3c:17:10:19:f2:54,-78,7 days,
4,Sharon,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],14:ae:db:56:14:ed,-78,7 days,
5,moshe4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2c:79:d7:ec:e8:32,-79,7 days,
6,katabi2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],54:64:d9:60:17:1f,-81,7 days,
7,yuval,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],00:5f:67:41:cb:c5,-83,7 days,
8,Rotem,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],78:65:59:66:26:f6,-83,7 days,
9,DIRECT-C5-HP Smart Tank 610,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b2:5c:da:c5:73:c5,-84,7 days,
10,DIRECT-a1-HP M130f LaserJet,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],12:5b:ad:01:07:a1,-85,7 days,
11,Segal1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],10:be:f5:43:62:20,-85,7 days,
12,Rotem,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],b8:66:85:b4:11:0b,-87,7 days,
13,Fiber 4K,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],a0:39:ee:94:f0:be,-89,7 days,
14,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],12:80:63:73:ab:9e,-91,7 days,
15,ANAT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10:5a:f7:2a:d6:80,-92,7 days,
16,Deco Tv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],0c:80:63:73:ab:9e,-93,7 days,
17,Bspot046B_5.0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b0:d5:9d:d8:ed:23,-96,7 days,
18,Deco Tv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],0c:80:63:73:93:06,-96,7 days,
0,Xiaomi_CC17,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],f0:b4:29:f1:cc:18,-80,7 days,
1,haim,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],b0:4e:26:e2:22:ab,-82,7 days,
2,haim,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],b0:4e:26:e2:22:aa,-83,7 days,
3,HOTBOX,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],70:0b:01:ec:33:a2,-88,7 days,
4,HOTFiber-CD58,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],08:6a:0a:69:fe:0e,-88,7 days,
5,NIRIT,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],7c:b7:33:ea:a1:6f,-91,7 days,
6,haim,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],b0:4e:26:e2:2e:da,-94,7 days,
0,TP-LINK_AP_5B18,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],60:32:b1:99:5b:18,-80,7 days,
1,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],b6:4e:26:e2:22:aa,-80,7 days,
2,haim,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],b0:4e:26:e2:22:aa,-81,7 days,
3,haim,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],b0:4e:26:e2:22:ab,-82,7 days,
4,dima,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],44:d4:53:f7:2e:f9,-86,7 days,
5,Hi-Smart-28ede03b2647,[ESS],28:ed:e0:3b:26:47,-87,7 days,
6,HOT IDO,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],0c:b9:37:85:8f:12,-87,7 days,
7,BeSpot780D_2.4,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],80:c5:48:1a:7d:8c,-89,7 days,
8,Sztern,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:9e:f6:b4,-90,7 days,
9,Danielnew,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS][WPS],66:32:b1:35:32:4e,-90,7 days,
10,WIFIIS,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28:ee:52:9c:5a:32,-90,7 days,
11,DIRECT-20-Pantum M6600 Series,[WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][WPA-PSK-TKIP+CCMP][ESS],38:01:46:e6:cd:f5,-91,7 days,
12,net,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],34:49:5b:20:92:f5,-94,7 days,
13,Kostya,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:c4:a6:3f,-94,7 days,
14,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],62:b8:c2:c4:a6:3c,-94,7 days,
15,Shmuel,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7c:ac:c6,-95,7 days,
0,NVA1821-1,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b4:a4,-47,7 days,
1,Kahalanosh,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d4:7b:b0:79:b8:7b,-81,7 days,
2,hezi_family,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:e9:19,-83,7 days,
3,pb12123,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:d9:b3,-87,7 days,
4,Elad&Hadas,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],00:78:9e:fb:be:fc,-87,7 days,
5,Neve-America 1832,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7f:29:8e,-88,7 days,
6,HOTBOX-21,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:51:2b,-91,7 days,
7,Avraham_ortal,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d8:fb:5e:17:44:8d,-96,7 days,
0,NVA1821-1,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b4:a4,-46,7 days,
1,NVA1821-2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:c2:85,-79,7 days,
2,BATCAVE,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b3:02,-88,7 days,
3,Dungeon,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:e1:2a,-91,7 days,
4,Avraham_ortal,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d8:fb:5e:17:44:8d,-94,7 days,
5,HOTBOX 4-D208,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:d2:0e,-94,7 days,
0,NVA1821-1,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b4:a4,-54,7 days,
1,NVA1821-2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:c2:85,-73,7 days,
2,HOTBOX 4-D208,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:d2:0e,-81,7 days,
3,Kahalanosh,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d4:7b:b0:79:b8:7b,-82,7 days,
4,hezi_family,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:e9:19,-88,7 days,
5,HOTBOX-21,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:51:2b,-91,7 days,
6,Dungeon,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:e1:2a,-94,7 days,
0,TechPublic,[ESS],b0:b8:67:24:55:e0,-74,8 days,
1,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:04,-75,8 days,
2,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e1,-75,8 days,
3,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:02,-77,8 days,
4,TechPublic,[ESS],88:e0:f3:20:2c:00,-78,8 days,
5,TechPublic,[ESS],40:b4:f0:9e:de:c0,-89,8 days,
6,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],40:b4:f0:9e:de:c2,-89,8 days,
7,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],40:b4:f0:9e:de:c4,-92,8 days,
8,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:21:f2:e2,-95,8 days,
0,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:04,-67,8 days,
1,TechPublic,[ESS],88:e0:f3:20:2c:00,-70,8 days,
2,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:02,-72,8 days,
3,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e2,-74,8 days,
4,TechPublic,[ESS],b0:b8:67:24:55:e0,-79,8 days,
5,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e1,-80,8 days,
6,DIRECT-CB-HP OfficeJet Pro 9020,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],c6:65:16:cc:c7:cb,-89,8 days,
7,DIRECT-D5-HP OfficeJet Pro 7740,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b2:5c:da:b7:22:d5,-91,8 days,
0,TechPublic,[ESS],88:e0:f3:20:2c:00,-70,8 days,
1,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:02,-72,8 days,
2,TechPublic,[ESS],b0:b8:67:24:55:f0,-72,8 days,
3,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:f1,-72,8 days,
4,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:f2,-72,8 days,
5,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:04,-73,8 days,
6,TechPublic,[ESS],b0:b8:67:24:55:e0,-79,8 days,
7,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e1,-80,8 days,
8,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e2,-81,8 days,
9,DIRECT-57-HP OfficeJet Pro 6970,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10:e7:c6:c5:7a:5a,-82,8 days,
10,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:21:f2:f2,-86,8 days,
11,Kolchak,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],34:49:5b:0f:69:75,-89,8 days,
12,DIRECT-D5-HP OfficeJet Pro 7740,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b2:5c:da:b7:22:d5,-91,8 days,
13,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:22:be:12,-92,8 days,
14,DIRECT-CB-HP OfficeJet Pro 9020,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],c6:65:16:cc:c7:cb,-93,8 days,
15,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:03:12,-94,8 days,
0,TechPublic,[ESS],88:e0:f3:20:2c:00,-70,8 days,
1,TechSec,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:02,-72,8 days,
2,TechPublic,[ESS],b0:b8:67:24:55:f0,-72,8 days,
3,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:f1,-72,8 days,
4,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:f2,-72,8 days,
5,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],88:e0:f3:20:2c:04,-73,8 days,
6,TechPublic,[ESS],b0:b8:67:24:55:e0,-79,8 days,
7,TechSec,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e1,-80,8 days,
8,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:24:55:e2,-81,8 days,
9,DIRECT-57-HP OfficeJet Pro 6970,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],10:e7:c6:c5:7a:5a,-82,8 days,
10,eduroam,[WPA2-EAP+FT/EAP-CCMP][RSN-EAP+FT/EAP-CCMP][ESS],b0:b8:67:21:f2:f2,-86,8 days,
11,Kolchak,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],34:49:5b:0f:69:75,-89,8 days,
12,DIRECT-D5-HP OfficeJet Pro 7740,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],b2:5c:da:b7:22:d5,-91,8 days,
